p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.992587468244663,0.00143472022956,0.00430416068867,0.00717360114778,0.0143472022956,0.141822077661,0.761275795131,697,
1.0,0.666666666667,0.6,0.8,0.54,1.0,0.7653606369886217,0.6992148198508501,0.804810999209339,0.5886189602199716,0.00645161290323,0.0129032258065,0.0177419354839,0.0416692268305,0.23843420377,0.426033736806,155,
1.0,1.0,1.0,1.0,0.76,1.0,1.0,1.0,1.0,0.7936517521996655,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.324807623695,0.531982979843,195,
1.0,1.0,1.0,1.0,0.26,1.0,1.0,1.0,1.0,0.992520235955832,0.0384615384615,0.115384615385,0.192307692308,0.384615384615,0.968911835291,0.968911835291,26,
1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,0.9771600298954685,0.03125,0.09375,0.15625,0.3125,0.958133257114,0.963261462242,32,
1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0,0.7465974928756554,0.0212765957447,0.063829787234,0.106382978723,0.212765957447,0.51693874489,0.543725046272,47,
1.0,1.0,0.8,0.8,0.26,1.0,1.0,0.8687949224876582,0.84860265890399,0.8846902876174734,0.0344827586207,0.103448275862,0.137931034483,0.253981937603,0.742437451275,0.748423855845,29,
1.0,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.9305687780632227,0.6795951186939592,0.0125,0.0375,0.0625,0.109861111111,0.474119777646,0.590055946798,80,
0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.06468517023068591,0.0,0.0,0.0,0.0,0.00234271693483,0.176212498817,210,
1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.9091851661092525,0.0027397260274,0.00821917808219,0.013698630137,0.027397260274,0.228497683323,0.713907472216,365,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9923791048329653,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.152121935297,0.820179048722,649,
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9192228564307265,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.551277695979,0.788751011568,156,
0.0,0.666666666667,0.6,0.5,0.13,0.0,0.5307212739772434,0.5296347172140421,0.48571574856977245,0.7687245072371403,0.0,0.0897435897436,0.147435897436,0.237179487179,0.557844219935,0.557844219935,13,
1.0,1.0,1.0,1.0,0.41,1.0,1.0,1.0,1.0,0.9665275741674861,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.943585440798,0.952942643971,43,
1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9628975967354418,0.00171821305842,0.00515463917526,0.0085910652921,0.0171821305842,0.15907314524,0.953910250527,582,
1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.9994588795970032,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.996690329311,0.996690329311,79,
1.0,1.0,1.0,0.7,0.82,1.0,1.0,1.0,0.7909506325094737,0.8294399115263251,0.00552486187845,0.0165745856354,0.0276243093923,0.0370165745856,0.37882452565,0.771680626259,181,
1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,1.0,0.6622571829905399,0.00990099009901,0.029702970297,0.049504950495,0.0990099009901,0.476184596634,0.622026549598,101,
1.0,0.666666666667,0.4,0.4,0.21,1.0,0.7653606369886217,0.5531464700081437,0.5067837010870873,0.7497224862793177,0.0416666666667,0.0833333333333,0.0833333333333,0.125,0.449100885234,0.461830177987,24,
0.0,0.0,0.0,0.4,0.16,0.0,0.0,0.0,0.2848142012137644,0.37659152530357226,0.0,0.0,0.0,0.0409126984127,0.121225377056,0.182986493483,30,
0.0,0.666666666667,0.8,0.9,0.38,0.0,0.5307212739772434,0.6608397947263839,0.7799082337019199,0.42358784229572755,0.0,0.0101449275362,0.0236231884058,0.0614872325742,0.184441061635,0.464452790273,115,
1.0,1.0,0.6,0.7,0.72,1.0,1.0,0.7227265726449519,0.7564477297898766,0.755666502636786,0.00621118012422,0.0186335403727,0.0186335403727,0.0367001873213,0.383210351274,0.664365775298,161,
1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9638217949008304,0.00315457413249,0.00946372239748,0.0157728706625,0.0315457413249,0.293702426908,0.91504621701,317,
1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9216017310213247,0.9088552972438213,0.00236406619385,0.00709219858156,0.0118203309693,0.0201442830875,0.196873327099,0.670962393554,423,
1.0,0.666666666667,0.6,0.8,0.51,1.0,0.7039180890341347,0.6548086577531307,0.7759944384848244,0.5776645193642679,0.00900900900901,0.015015015015,0.0217717717718,0.0551837551838,0.364548738532,0.579606714362,111,
1.0,1.0,0.6,0.3,0.04,1.0,1.0,0.8318724637288826,0.8318724637288826,0.900026351878831,0.25,0.75,0.75,0.75,0.769230769231,0.769230769231,4,
1.0,1.0,1.0,0.7,0.17,1.0,1.0,1.0,0.7917267193679839,0.6887719630191682,0.0416666666667,0.125,0.208333333333,0.280505952381,0.401742201453,0.429436997003,24,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00390625,0.01171875,0.01953125,0.0390625,0.390625,0.959809347109,256,
