ndcg10,ndcg10,ndcg10
1.0,1.0,0.9363792118010483
0.0,0,0.9052116356304493
0.7065443116025598,0,1.0
0.22009176629808017,0,0.0
0.4537425745411855,0,1.0
1.0,1.0,1.0
1.0,0,1.0
0.2082936658103318,0.8205228949141826,0.15139734109601002
0.7799082337019199,0,0.5988751049740155
0.0,1.0,0.5855700749881525
0.3063365306564336,0,0.9052116356304493
0.0,1.0,1.0
0.28165758790969186,0,0.7967610662472993
1.0,0.23463936301137822,0.3589542101716347
0.07839826897867533,0,0.33013764944712026
0.0979129253499678,0,0.7136540102475308
0.0,0.0,0.7653606369886217
0.0,0,0.6309297535714575
0.0,0,0.5
0.5847192329112588,0,0.914856882358379
0.0,1.0,1.0
0.3241295975188817,0.38363315291837646,1.0
0.7849818707050383,0,1.0
0.0,1.0,1.0
1.0,1.0,0.31488013066763093
0.542042305486879,0,1.0
0.30523488393970116,0,1.0
0.0,0,0.44510108735750953
1.0,0,1.0
0.9216017310213247,0,0.7542686714597936
1.0,0.9216017310213247,1.0
1.0,0,1.0
1.0,1.0,1.0
1.0,0,0.6051399156371955
0.3398414932237254,0,1.0
1.0,0.6410457898283652,0.9052116356304493
1.0,1.0,1.0
1.0,0.9052116356304493,1.0
0.9052116356304493,0.933745776545611,1.0
0.9305687780632227,0,1.0
1.0,0.933745776545611,0.9216017310213247
0.0,0,1.0
1.0,0,1.0
1.0,1.0,1.0
1.0,0,1.0
0.0,1.0,0.9363792118010483
0.914856882358379,0.3827160388385181,0.9266360779006401
0.7909506325094737,0,0.36885567213865283
0.0,0,1.0
0.8482378089219645,0,1.0
0.566505254342783,0.34313724318507627,0.8254274669353283
